Jarea,JcomSize,JcomType,Jcompany,Jdb,Jeducation,Jexperience,JhireCount,JmaxSalary,JminSalary,Jname,JpayTimes,Jrequirements,Jsalary,Jtag,Jtype,Jwelfare
云南-昆明,50-200,股份制企业,苏州芙美人生物科技有限公司,,大专学历 ,不限经验,招聘1-5,3.0,2.0,后台运营管理,,,,医疗/保健/美容/卫生,,
江西-萍乡,50-200,私营/民营企业,中航共创（北京）教育科有限公司,,中专学历 ,应届毕业生经验,,4.5,3.0,航空高铁实习生,,,,航天/航空,,
云南-西双版纳,50-200,私营/民营企业,云南景兰文旅集团,,大专学历 ,不限经验,招聘1-5,4.5,3.0,人力资源专员/助理,,,,娱乐休闲/餐饮/服务,,
云南-昆明,50-200,私营/民营企业,云南晨鸣电器有限公司,,不限学历 ,不限经验,,8.0,6.0,成套接线员,,,,电力/水利/能源/矿产,,
山西-临汾,10-50,私营/民营企业,知否传媒,,大专学历 ,不限经验,招聘1-5,0,0,总经理,,,,娱乐休闲/餐饮/服务,,
云南-大理,10-50,国有企业,云南万文建设工程有限公司,,本科学历 ,不限经验,招聘1-5,0,0,会计,,,,建筑/房地产/物业/装潢,,
云南-大理,50-200,私营/民营企业,大理阳光贝贝,,不限学历 ,不限经验,,4.5,3.0,皮肤管理师,,,,批发零售,,
云南-楚雄,50-200,私营/民营企业,楚雄悦途汽车销售服务有限公司,,本科学历 ,不限经验,招聘1-5,0,0,主管会计,,,,汽车/摩托车/零配件,,
辽宁-阜新,10-50,私营/民营企业,景明大酒店,,本科学历 ,不限经验,,3.0,2.0,餐饮厅面领班,,,,旅游/酒店,,
广东-揭阳,50-200,私营/民营企业,昭通银昶企业,,大专学历 ,不限经验,招聘1-5,4.5,3.0,文案策划/编写,,,,建筑/房地产/物业/装潢,,
云南-玉溪,10-50,其他,云南绿竹房地产开发有限公司,,中专学历 ,不限经验,招聘1-5,0,0,土建/结构工程师,,,,建筑/房地产/物业/装潢,,
云南-曲靖,50-200,股份制企业,曲靖市富源阳光医院,,大专学历 ,不限经验,招聘1-5,20.0,15.0,麻醉医生,,,,医疗/保健/美容/卫生,,
内蒙古-呼和浩特,500-1000,私营/民营企业,呼和浩特市新途径培训服务有限公司,,本科学历 ,不限经验,招聘50-100,8.0,6.0,公务员考试培训储备讲师（数量资料方向）,,,,教育/培训/学术/科研,,
北京-北京,10-50,私营/民营企业,北京聚仁诚成教育科技有限公司,,大专学历 ,不限经验,,12.0,8.0,高薪阳光空乘、空少包过,,,,教育/培训/学术/科研,,
云南-,10-50,私营/民营企业,昆明昭盛房地产经纪有限公司,,不限学历 ,不限经验,,8.0,6.0,房产店员/助理,,,,建筑/房地产/物业/装潢,,
云南-,10-50,私营/民营企业,昆明昭盛房地产经纪有限公司,,高中学历 ,不限经验,,15.0,10.0,销售经理,,,,建筑/房地产/物业/装潢,,
云南-文山,50-200,私营/民营企业,文山市博莱玛特百货有限责任公司,,不限学历 ,不限经验,招聘1-5,3.0,2.0,食品加工/处理 水产,,,,批发零售,,
云南-昆明,200-500,私营/民营企业,云南潘祥记工贸有限公司,,高中学历 ,不限经验,,3.0,2.0,开单员,,,,快速消费品,,
云南-曲靖,10-50,私营/民营企业,罗平希尔培训学校有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,英语教师,,,,教育/培训/学术/科研,,
云南-红河,10-50,私营/民营企业,弥勒市弥阳镇东昇优友幼儿园有限公司,,大专学历 ,不限经验,招聘1-5,3.0,2.0,办公室文员,,,,教育/培训/学术/科研,,
